drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
AZD6094,22.233324,-23.895948,-18.155582,-0.5378026,-3.0883374,-15.14717,-33.359158,8.549647,-33.304287,28.115896,31.221611,-8.369078,2.9022121,1.2379799,-1.6339881,16.831966,11.693912,-25.164131,15.777337,8.799026,-20.871521,0.1636909,15.942161,10.045537,-39.3444,-4.809003,6.905931,-22.475658,21.110544,18.109926,3.377138,-36.290268
AZD6482,26.736143,-29.469032,-21.06364,-0.48903936,-2.7261097,-18.604359,-38.08261,8.425632,-39.120483,33.406536,35.683525,-9.022866,3.9344454,2.0704982,-0.47347876,18.868904,11.435182,-28.362843,16.14939,9.209512,-24.847826,0.81383544,17.958296,12.673491,-45.01225,-5.5972238,7.7620244,-27.482758,25.998068,20.624199,4.2017765,-42.048588
AZD6738,27.476042,-29.395813,-21.125767,-0.7217957,-2.6115296,-18.778303,-38.59332,8.389572,-39.784893,34.039314,36.850548,-9.82153,4.0665565,2.3268788,-0.037152767,19.37382,11.9843025,-29.830029,16.805113,9.244876,-25.537786,0.4442666,17.174969,11.979277,-45.928123,-5.5268874,8.543588,-27.483625,27.306034,20.723654,4.3086925,-43.138523
AZD7762,23.066631,-24.804453,-18.227444,-0.91927785,-1.6955016,-16.602163,-32.82824,6.742608,-34.161777,30.281912,31.05067,-8.820273,3.2918324,2.072862,0.9141847,16.058876,10.157862,-25.55859,13.989384,6.9233313,-22.341835,0.7106081,13.366917,9.783272,-38.76728,-4.4956408,7.613491,-23.413618,23.989864,18.37168,3.0852528,-37.254192
AZD8055,31.788166,-34.74612,-23.934614,0.19344683,-3.0010653,-21.103868,-43.75823,9.425101,-44.835464,37.489426,41.268456,-9.225031,4.70331,2.889471,-1.1783878,22.083319,12.514873,-32.382736,18.023296,11.157152,-28.455706,1.2732438,21.706757,15.012687,-52.046017,-6.559832,8.24953,-31.699884,30.253315,22.657303,5.3932266,-47.91409
AZD8186,29.631077,-32.45323,-22.930107,-0.8689483,-2.863961,-20.524172,-42.16027,9.289535,-43.411816,37.16336,39.53893,-10.279611,3.7418828,2.5173533,-0.41672978,20.533974,12.791638,-31.900887,17.99094,9.397857,-27.932182,0.8238601,19.491459,13.942859,-49.72435,-5.726729,8.673978,-30.335115,29.186623,22.958422,4.5638003,-47.149708
AZD8835,30.668972,-34.988445,-23.706541,-0.08042725,-2.345758,-21.833466,-43.93085,8.911404,-44.394016,38.995274,39.507217,-9.138872,3.9528732,2.7417088,-0.74512094,20.25106,12.10976,-31.209364,17.306828,9.34683,-28.775963,1.4831128,21.51104,15.13271,-50.977615,-6.315619,7.808443,-31.90748,30.814604,22.97159,4.4784994,-48.49024
AZD8931,30.215496,-33.145824,-23.846762,-1.0573506,-2.3880296,-21.48572,-43.152676,9.326512,-44.64228,39.44152,40.544834,-11.317819,3.803636,2.578865,0.36898428,20.88058,13.2603035,-33.100388,18.353237,8.9387045,-28.957632,0.97894514,18.966455,13.605125,-50.993423,-5.874142,9.34808,-31.247257,30.596972,23.926895,4.409177,-48.831776
BAM7,25.41219,-27.659592,-21.156826,-1.1286922,-2.2920384,-18.131859,-37.536774,8.954007,-38.83434,34.401688,35.28959,-10.682801,3.4164531,1.7158593,0.21983561,18.54334,12.842618,-29.350649,17.026308,8.483461,-24.829979,0.7493326,16.287008,10.967749,-44.734364,-5.6131735,8.451984,-26.27046,25.847721,21.645374,3.4426305,-42.525265
Barasertib,37.24107,-41.3661,-30.100193,-1.8084859,-2.6404872,-27.66633,-53.298428,12.099755,-56.48858,50.933884,50.028408,-14.965614,3.5220318,2.9940002,0.8277953,25.540155,16.45676,-41.589005,22.924353,9.32146,-37.359924,1.2340957,23.43687,17.56886,-63.70266,-6.6028137,11.763814,-39.807346,38.123165,30.9729,5.653801,-61.75182
BAY-598,31.881792,-34.01751,-25.059303,-3.1521206,-2.6067383,-23.762024,-45.698162,9.276568,-48.854427,43.836754,44.06902,-14.798443,3.5506246,2.4449484,2.836356,21.73236,14.685939,-37.69837,20.826937,7.7855706,-33.05581,0.109575704,16.328741,12.978535,-54.279778,-5.2393456,11.980827,-33.40741,34.732857,26.729834,3.96492,-54.29664
BAY-61-3606,29.08309,-30.894945,-24.086184,-1.7745332,-1.3835063,-21.062174,-40.24138,10.246165,-43.928787,41.183815,39.98644,-14.689834,2.785121,1.3203775,1.895548,20.677628,13.883333,-34.539368,19.230873,6.17676,-29.335888,0.40064868,16.141184,11.0370035,-50.598045,-5.4938693,10.56392,-30.528646,29.71846,25.003986,4.0846596,-48.77753
BAY-87-2243,34.341747,-37.579323,-26.655462,-0.6521571,-4.073583,-23.80084,-50.02721,10.790761,-49.739834,42.358555,46.314728,-11.209121,4.926864,2.4949417,-1.4952404,24.440332,15.361055,-36.47615,21.744947,12.471945,-31.960041,0.7713718,23.105793,15.60833,-57.971413,-7.107935,9.943434,-34.820114,33.59016,26.003574,4.6825533,-54.524464
BAZ2-ICR,22.779415,-25.370508,-19.115936,-0.51379097,-2.6694913,-16.065784,-33.773083,8.3876915,-34.5548,29.902527,31.516651,-8.644697,3.1988187,1.2952048,-0.8458847,16.925436,11.073337,-25.26329,15.096131,8.364367,-21.574759,0.57277447,16.268152,10.952758,-40.069817,-5.1017184,7.0180035,-24.06258,21.96294,18.834785,3.698386,-37.13331
Belinostat,19.632614,-21.278688,-16.63319,-1.7829942,-1.3326256,-14.826246,-28.338348,6.425127,-30.91966,28.359673,27.520565,-9.809862,2.341739,1.3821074,1.9942503,14.013476,9.543983,-23.65985,12.863876,4.9227023,-20.29411,0.4247317,10.527181,8.22012,-34.285076,-3.7263632,7.606313,-21.127851,21.019192,17.5626,2.7505534,-33.75598
Bexarotene,22.46668,-26.337292,-17.84571,0.49706042,-2.2058969,-16.493538,-32.39293,6.6006484,-32.604523,28.43304,28.763817,-5.7683563,3.5385497,1.6566713,-1.0756774,15.030199,8.102587,-21.705189,12.334118,7.5723367,-20.8007,0.973239,16.963753,12.19582,-37.479683,-4.845727,5.385065,-24.175364,22.052706,16.434034,3.7624404,-34.55402
BI-2536,35.071194,-39.678024,-26.470135,0.5548253,-2.828558,-24.625532,-49.01631,9.070023,-49.54888,42.471348,44.445786,-8.984545,6.0141935,3.233741,-0.698254,23.08973,12.3061695,-34.007275,18.66639,11.727295,-31.848425,1.7213063,24.17004,17.396809,-56.862026,-7.416192,8.721763,-35.93706,35.192986,24.399954,5.3655577,-53.03641
BI-7273,22.7295,-25.849072,-18.448473,-0.3313955,-1.7754052,-16.017218,-32.37456,7.817196,-33.99361,29.80756,30.144547,-8.020948,2.519866,1.8068093,-0.5381183,15.75345,9.735946,-24.349703,13.530382,6.706238,-21.57458,1.058098,16.464796,11.700451,-38.94984,-4.601503,6.203674,-24.308645,22.026436,18.254574,4.119401,-36.445457
BI-9564,22.738283,-25.866665,-18.448818,-0.33909857,-1.7608097,-16.018513,-32.37796,7.8112855,-33.989815,29.815353,30.14252,-8.018084,2.5232787,1.8111931,-0.5297503,15.744725,9.726425,-24.346312,13.514543,6.6977873,-21.575628,1.0561211,16.466118,11.70006,-38.959545,-4.615105,6.203623,-24.318165,22.033878,18.265749,4.1122127,-36.460155
BIBF-1120,35.206684,-39.302654,-27.964865,-0.5779727,-3.4313374,-24.782175,-50.268044,11.267359,-51.773792,44.49258,46.88748,-11.654616,4.9770827,2.7010415,-0.8346355,24.653473,14.715923,-37.095764,20.983444,11.59232,-32.88646,1.0731297,24.37161,17.469627,-59.53669,-7.1950216,10.083565,-36.898907,34.183132,27.35153,5.8713055,-55.533035
BIBR-1532,20.80807,-23.202234,-17.37429,-0.91576445,-2.373995,-15.047223,-30.54874,7.2890506,-31.93015,27.633398,28.741993,-8.2213335,2.9146724,1.1889577,-0.07892521,15.148942,9.695015,-23.194637,13.507421,7.010302,-20.141106,0.44701642,14.171206,10.273672,-36.306385,-4.322081,6.711428,-22.353094,20.45642,17.441597,3.3836765,-34.13766
Bicalutamide,25.84257,-27.684206,-20.727121,-2.8594134,-2.4287374,-19.688112,-38.0378,8.091429,-40.233696,36.470463,36.372368,-12.3890915,2.1783614,1.9109061,1.9021971,17.864006,12.64127,-31.212214,17.651417,5.9504404,-27.381128,-0.0108171515,13.46634,10.678009,-44.715584,-3.9739523,9.945143,-27.539112,27.984642,22.666334,3.0339022,-45.25568
BIX-02188,26.383564,-29.645565,-21.62924,-0.5527485,-2.7007916,-18.70924,-38.255283,9.281165,-39.688057,34.25993,35.64387,-9.4549465,3.5179653,1.6904147,-0.84503,18.894917,11.8503,-28.542301,16.564814,8.877822,-25.039309,0.7490744,19.00731,13.333884,-45.764614,-5.59525,7.685085,-28.028568,25.467386,21.403309,4.509949,-42.446697
BIX02189,28.286633,-32.242146,-22.999462,-0.4072753,-2.5326223,-20.07884,-40.708134,9.667139,-42.349537,36.77911,37.58506,-9.673058,3.6577616,2.0179539,-0.84584635,19.786692,12.098206,-30.049303,16.985323,9.0442505,-26.815916,0.99891144,20.676702,14.707904,-48.691685,-6.008238,7.8280425,-30.23482,27.41452,22.735516,4.9092107,-45.264416
Bleomycin (50 uM),92.170235,-98.40564,-67.97781,-4.5995502,-5.5125976,-66.83763,-122.70016,25.94157,-134.1337,117.917076,119.578476,-32.997517,7.287123,10.009489,3.7386453,60.4624,34.69797,-101.233215,51.569588,19.257963,-92.194885,1.0779954,52.731026,42.214108,-151.26202,-13.394903,28.57551,-94.25583,92.31164,72.69892,15.943493,-145.8574
Bleomycin,91.09452,-99.70002,-69.10651,-4.7687216,-5.3545213,-66.811874,-123.59693,25.910362,-134.46078,119.39056,118.75031,-33.543365,7.7285585,9.345487,4.1699038,59.62727,34.508472,-99.45862,50.562134,18.737154,-90.53564,2.3835714,53.550293,43.59769,-149.97261,-13.750231,28.071568,-95.95583,92.49214,72.54286,15.532774,-146.12425
