drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
GNF-5,0.8516041,-0.1564666,-0.72880024,-0.8563095,-0.09998338,0.625258,-0.40745482,3.3530347,-0.09896137,1.4585199,-0.108097106,-0.33064258,-1.241975,0.6315084,0.24571857,1.4030532,1.0417538,2.3378243,1.3172867,0.20168957,-0.27707872,-0.6461554,-0.24766248,0.9065315,-0.44936657,0.8088631,0.3743101,0.55102724,-0.45805228,0.79327655,-0.05769875,0.051463448
GSK-LSD1-2HCl ,1.2464975,-0.16898973,-0.78507286,-0.9232944,-0.16234168,0.798184,-0.57576776,4.0920334,0.0006276536,2.8143446,-0.14055091,-0.5252332,-1.3192754,1.0078582,0.16611011,2.2338686,0.8501333,2.7674732,2.143464,-0.14252722,-0.38009587,-0.70258355,-0.28072116,1.5358908,-0.5394689,0.9570511,0.26244113,0.8260778,-0.54037756,0.8232649,-0.40704042,0.24479614
GSK-LSD1-2HCl_,1.2464975,-0.16898973,-0.78507286,-0.9232944,-0.16234168,0.798184,-0.57576776,4.0920334,0.0006276536,2.8143446,-0.14055091,-0.5252332,-1.3192754,1.0078582,0.16611011,2.2338686,0.8501333,2.7674732,2.143464,-0.14252722,-0.38009587,-0.70258355,-0.28072116,1.5358908,-0.5394689,0.9570511,0.26244113,0.8260778,-0.54037756,0.8232649,-0.40704042,0.24479614
GSK1059615,0.759535,-0.15759726,-0.7449197,-0.82814884,-0.097455725,0.5074888,-0.3899871,2.9471884,-0.09382951,1.4023843,-0.118926965,-0.4001212,-1.3167799,0.54403055,0.15104525,1.4159186,0.894739,1.9949733,1.2404674,0.12585232,-0.32049924,-0.6747787,-0.4728802,0.9943545,-0.7405158,0.7076243,0.37366772,0.5210282,-0.48045477,0.7028208,-0.12710468,0.024109993
GSK1070916,0.9777114,-0.14568567,-0.73849434,-0.82055837,-0.083071575,0.34494156,-0.3427902,2.3778956,-0.08574842,1.6005164,-0.11751167,-0.32115954,-1.249136,0.66535836,0.17282496,1.0847508,0.7256583,2.2890003,0.9207138,0.037068963,-0.2583666,-0.5723334,-0.18967894,0.8699385,-0.35013855,0.9373004,0.32916516,0.32054576,-0.4686017,0.7363612,-0.13441181,0.094051205
GSK126,0.8999523,-0.13945879,-0.70621324,-0.8066457,-0.08309414,0.34088403,-0.34434596,2.4538958,-0.049405456,1.4396733,-0.11172568,-0.32102314,-1.2038676,0.6161478,0.18423298,1.150349,0.7043096,2.113592,0.9505811,0.04379692,-0.27472076,-0.5599253,-0.16289604,0.85685724,-0.3045575,0.8791075,0.338414,0.3511604,-0.43600875,0.7889617,-0.113161884,0.09969497
GSK1904529A,0.9932772,-0.1491735,-0.7107622,-0.81706774,-0.07780608,0.5763089,-0.30967727,3.4777896,-0.017322283,1.9722893,-0.10381178,-0.3114163,-1.2187054,0.7609095,0.20612948,1.6352931,0.9036345,2.6355236,1.4693704,0.058277037,-0.27990073,-0.55045396,-0.18200266,1.1480261,-0.36733854,0.957145,0.3740403,0.5401784,-0.43534616,0.86307913,-0.08000289,0.09360552
GSK2292767,0.9729938,-0.14600413,-0.7368794,-0.80884844,-0.088512965,0.56066424,-0.34787104,3.5208848,-0.031249901,1.9662755,-0.13423394,-0.41307727,-1.2523342,0.727601,0.22215185,1.6136452,0.87386507,2.560945,1.4897971,0.020225145,-0.29787126,-0.6562209,-0.25515103,1.1639469,-0.42506847,0.9363477,0.40814748,0.5512543,-0.4662581,0.8206737,-0.18663928,0.05046324
GSK2334470,0.88038784,-0.14606795,-0.7386264,-0.8282449,-0.09480214,0.38340655,-0.36409754,2.351258,-0.02948836,1.4282464,-0.116002046,-0.35134822,-1.208917,0.6576534,0.14350303,1.131984,0.7205297,2.1309571,0.9294805,0.040992733,-0.2729162,-0.6058648,-0.24602424,0.86982316,-0.3957961,0.9266691,0.3248218,0.32344174,-0.46638325,0.8189734,-0.15800467,0.10402586
GSK2578215A,0.8262204,-0.14917348,-0.7107622,-0.8381334,-0.087081455,0.36822927,-0.36760032,2.5794818,-0.093471095,1.2849745,-0.103811786,-0.3114163,-1.2187054,0.54857033,0.18909077,1.2204113,0.75312823,1.8382331,0.98797035,0.058277015,-0.27990076,-0.64324504,-0.41832194,0.890043,-0.69890434,0.790512,0.33287475,0.38772926,-0.43534613,0.7540456,-0.0800029,0.04734148
